genre_ID,average tempo, average duration,average danceability
441,116.36,264463.1934,0.54
442,110.97,180376.5392,0.6
443,123.63,179685.0952,0.52
444,95.09,225283.8279,0.3
445,106.49,252960,0.36
446,106.4,257513.7083,0.54
447,102.58,214107.4821,0.61
448,116.96,232224.44,0.51
449,126.52,230053.0087,0.58
450,107.89,129105.2919,0.73
451,98.79,190791.5115,0.28
452,109.22,260344.2574,0.27
453,111.57,271867.6263,0.37
454,100.79,207202.6667,0.45
455,125.14,219139.2,0.6
456,108.9,236635.2076,0.59
457,118.98,216037.6905,0.6
458,133.98,292391.4675,0.67
459,123.2,214367.0238,0.55
460,102.09,349609.0833,0.3
461,129.01,235921.65,0.46
462,103.9,234146.6667,0.37
463,125.74,206245.2945,0.7
464,122.62,246014.1408,0.55
465,133.25,201226.5,0.5
466,113.49,175352.8667,0.47
467,116.11,248854.6786,0.75
468,128.61,241557.509,0.45
469,139.93,273864,0.62
470,121.21,240561.3282,0.58
471,126.92,206080.1667,0.48
472,117.29,218324.5833,0.41
473,100.41,647556.8889,0.14
474,126.59,238169.7095,0.41
475,131.21,228087.4649,0.48
476,127.39,231840.6172,0.52
477,127.17,144013.3333,0.46
478,114.19,245183.1463,0.55
479,113.27,216856.3801,0.34
480,106.88,200164.6667,0.71
481,115.9,210221.7331,0.51
482,141.71,162693,0.49
483,127.86,216407.3572,0.55
484,138.09,159253.5,0.47
485,122.42,244741.0168,0.56
486,101.69,255747,0.49
487,110.43,373225.1607,0.45
488,121.63,233244,0.58
489,122.46,232298.7939,0.55
490,116.44,253986.803,0.48
491,122.31,191599.8393,0.49
492,106.36,205225.6304,0.38
493,65.96,180773,0.56
494,127.18,249395.8333,0.64
495,108.7,270966.75,0.62
496,124.98,252280,0.65
497,116.43,413359.4574,0.57
498,137.18,196644.125,0.45
499,114.86,458298.0992,0.55
500,143.22,195014.8333,0.65
501,122.38,159172.7737,0.66
502,98.6,242370.7172,0.23
503,112.42,344565.9683,0.37
504,72.7,199773,0.19
505,122.46,272380.6205,0.48
506,137.34,197960.3333,0.55
507,124.84,213790.6912,0.37
508,118.62,217922.0483,0.49
509,125.76,309829.75,0.51
510,125.41,283515.75,0.49
511,126.96,182861.2099,0.51
512,125.29,234020.1509,0.54
513,108.9,186305.3431,0.62
514,127.94,188946.875,0.37
515,104.98,258333,0.57
516,101.11,190568.2222,0.59
517,94.31,215032.7653,0.22
518,163.44,183153.5,0.34
519,137.5,174269.5,0.38
520,100.63,323591.4833,0.32
521,113.94,250200.5877,0.5
522,117.14,264491.7413,0.54
523,140.04,309672.9107,0.67
524,88.75,192160,0.62
525,116.45,173860.4762,0.52
526,113.95,220247.8696,0.53
527,120.2,176587.4375,0.64
528,126.54,175046.5,0.36
529,100.84,253277.3284,0.64
530,136.19,274048,0.65
531,136.09,242922,0.63
532,130.35,356117.6,0.62
533,120.46,235619.4478,0.56
534,130.93,236347.706,0.7
535,124.13,223584.2,0.34
536,125.47,346906.0324,0.74
537,132.03,211953.9011,0.49
538,139.5,317830,0.4
539,129.25,183879.2333,0.43
540,122.85,231125.7639,0.69
541,115.72,204744.111,0.57
542,132.52,162865.9048,0.42
543,106.16,245737.0062,0.77
544,119.31,230519.8645,0.68
545,182.22,242026,0.61
546,102.69,212388.5313,0.39
547,128.31,144429.4912,0.68
548,118.98,151090.9526,0.69
549,104.96,610370.25,0.69
550,142.97,286779.3333,0.63
551,91.73,219521.4444,0.65
552,113.93,355732.2475,0.52
553,136.3,234783.3783,0.62
554,131.5,532543,0.6
555,106.87,238617.7083,0.47
556,121.55,274318.8182,0.65
557,106.63,196432.2222,0.73
558,114.46,316881.0956,0.65
559,102.66,175376.9362,0.67
560,132.93,380323.625,0.51
561,120.99,246655.5009,0.6
562,121.95,261962,0.39
563,130.27,241933,0.39
564,108.78,222845.5,0.33
565,111.19,213046.75,0.32
566,142.02,217088,0.66
567,89.97,280842,0.41
568,116.5,364075,0.74
569,125.89,237246.5028,0.54
570,172.69,244240,0.48
571,98.51,381974.5556,0.39
572,130.49,255742,0.59
573,130.27,241933,0.39
574,130.46,204117.4748,0.52
575,77.06,101600,0.78
576,123.17,252702.46,0.49
577,133.82,280126.3855,0.77
578,101.25,233293.5003,0.29
579,109.3,174699.4792,0.55
580,137.89,243513.5,0.45
581,120.18,271287.5,0.51
582,90.26,227773.6429,0.56
583,123.69,250830.9064,0.49
584,126.06,201327,0.36
585,129.07,191924.3333,0.52
586,126.92,233675.9399,0.7
587,118.32,239402.8517,0.52
588,132.63,226069.4202,0.47
589,135.26,252147.725,0.44
590,120.4,266232.8477,0.49
591,123.35,252375.9247,0.52
592,109.62,263974.6563,0.49
593,116.93,208992.8556,0.51
594,111.15,244160.4533,0.41
595,129.3,219934.5748,0.49
596,129.76,247165.3694,0.72
597,111.26,288975.4124,0.51
598,109.5,227731.1193,0.55
599,112.87,195646.4444,0.54
600,130.3,257503.9867,0.76
601,119.95,249565.4394,0.69
602,154.71,246324.3333,0.71
603,125.32,376666.2,0.63
604,127.77,377734.7865,0.72
605,83.93,348560,0.57
606,125.12,280646.4286,0.66
607,106.62,309709.7,0.6
608,112.85,463745.0135,0.48
609,109.99,194057.7,0.56
610,131.11,206664.2917,0.62
611,105.36,319071.3333,0.72
612,109.19,260996.5985,0.52
613,125.6,248734.8289,0.58
614,119.2,237224.6957,0.52
615,122.95,263641.388,0.7
616,116.14,195492.7101,0.68
617,113.5,183795.8454,0.6
618,76.83,172446.4222,0.3
619,109.33,209144.2937,0.67
620,138.53,337680.0667,0.53
621,109.33,165693,0.39
622,127.39,151480,0.78
623,150.02,189600.3333,0.57
624,123.63,186994.7905,0.5
625,120.02,162337.1805,0.55
626,115.43,192537.4399,0.52
627,142.0,246383.939,0.53
628,93.5,733455.6667,0.6
629,138.29,304919.25,0.38
630,127.54,263783.2,0.44
631,118.61,191480,0.81
